CompoundID,CompoundName,GeneSymbolOfTargets,TargetOrMechanism,Synonyms,SampleIDs,ChEMBLID,SMILES,InChIKey,DoseUnit,PubChemCID
DPC-000457,ALPHA-METHYLHISTAMINE-DIHYDROBROMIDE-(S)-(+),HRH3,HISTAMINE RECEPTOR AGONIST,,BRD:BRD-K28308851-303-01-8,,,,uM,
DPC-000458,ALPHA-METHYLSEROTONIN,HTR1D;HTR1E;HTR1F;HTR2A;HTR2B;HTR2C;HTR4,SEROTONIN RECEPTOR AGONIST,,BRD:BRD-K01826806-050-02-9,,,,uM,
DPC-000459,ALPHA-TOCHOPHERYL-ACETATE,,ANTIOXIDANT,,BRD:BRD-A61850409-001-10-7,,,,uM,
DPC-000460,ALPIDEM,GABRA1,BENZODIAZEPINE RECEPTOR AGONIST,,BRD:BRD-K66896751-001-02-4,,,,uM,
DPC-000461,ALPRENOLOL,ADRB1;ADRB2;HTR1A,ADRENERGIC RECEPTOR ANTAGONIST,,BRD:BRD-A00993607-003-24-6,,,,uM,
DPC-000462,ALPROSTADIL,CATSPER1;CATSPER2;CATSPER3;CATSPER4;PTGDR;PTGER1;PTGER2;PTGER4;PTGIR,PROSTANOID RECEPTOR AGONIST,,BRD:BRD-K52459643-001-17-7,,,,uM,
DPC-000463,ALRESTATIN,AKR1B1,ALDOSE REDUCTASE INHIBITOR,,BRD:BRD-K35498378-001-06-1,,,,uM,
DPC-000465,ALTANSERIN,HTR2A,SEROTONIN RECEPTOR ANTAGONIST,,BRD:BRD-K00610438-003-02-5,,,,uM,
DPC-000466,ALTHIAZIDE,,DIURETIC,,BRD:BRD-A56675431-001-12-3,,,,uM,
DPC-000467,ALTINICLINE,CHRNA4;CHRNB2,NICOTINIC RECEPTOR AGONIST,,BRD:BRD-K52681925-050-01-6,,,,uM,
DPC-000468,ALTIRATINIB,KDR;MET;TEK,"MET INHIBITOR, VEGFR INHIBITOR",,BRD:BRD-K78627070-001-01-5,,,,uM,
DPC-000469,ALTRENOGEST,PGR,PROGESTOGEN HORMONE,,BRD:BRD-K14619660-001-01-5,,,,uM,
DPC-000470,ALTRETAMINE,,DNA SYNTHESIS INHIBITOR,,BRD:BRD-K67043667-001-26-4,,,,uM,
DPC-000471,ALVERINE,HTR1A,MUSCLE RELAXANT,,BRD:BRD-K89055274-048-22-7,,,,uM,
DPC-000472,ALVESPIMYCIN,HSP90AA1,HSP INHIBITOR,,BRD:BRD-K83988098-001-02-0;BRD:BRD-K83988098-003-03-4,,,,uM,
DPC-000473,ALVIMOPAN,OPRD1;OPRK1;OPRM1,OPIOID RECEPTOR ANTAGONIST,,BRD:BRD-K07857022-002-01-1,,,,uM,
DPC-000474,ALVOCIDIB,CDK1;CDK2;CDK4;CDK5;CDK6;CDK7;CDK8;CDK9;EGFR;PYGM,CDK INHIBITOR,,BRD:BRD-K87909389-003-03-4;CTRP:687720,,,,uM,
DPC-000475,ALX-40-4C,,CC CHEMOKINE RECEPTOR ANTAGONIST,,BRD:BRD-K00003337-019-01-9,,,,uM,
DPC-000476,ALX-5407,SLC6A9,"GLYCINE TRANSPORTER 1 INHIBITOR, GLYCINE TRANSPORTER INHIBITOR",,BRD:BRD-K53979406-003-02-8,,,,uM,
DPC-000477,AM-1241,CNR1;CNR2,CANNABINOID RECEPTOR AGONIST,,BRD:BRD-A66116161-001-02-3,,,,uM,
DPC-000478,AM-24,ALOX5,LIPOXYGENASE INHIBITOR,,BRD:BRD-K59013864-001-01-1,,,,uM,
DPC-000479,AM-251,CNR1;GPR18;GPR55,CANNABINOID RECEPTOR ANTAGONIST,,BRD:BRD-K92000912-001-12-6,,,,uM,
DPC-000480,AM-281,CNR1;CNR2;GPR55,CANNABINOID RECEPTOR ANTAGONIST,,BRD:BRD-K59419204-001-02-7,,,,uM,
DPC-000481,AM-404,CNR1;CNR2;FAAH;TRPV1,"CYCLOOXYGENASE INHIBITOR, FAAH INHIBITOR, TRPV ANTAGONIST",,BRD:BRD-K55462201-001-07-3,,,,uM,
DPC-000482,AM-580,RARA,RETINOID RECEPTOR AGONIST,,BRD:BRD-K06854232-001-19-9;CTRP:58455,,,,uM,
DPC-000483,AM-630,CNR1;CNR2,CANNABINOID RECEPTOR ANTAGONIST,,BRD:BRD-K63533170-001-02-9,,,,uM,
DPC-000484,AM-92016,GRIN1,POTASSIUM CHANNEL BLOCKER,,BRD:BRD-A11813248-003-02-4,,,,uM,
DPC-000485,AM211,,PROSTAGLANDIN INHIBITOR,,BRD:BRD-K00003152-001-01-9,,,,uM,
DPC-000486,AM679,ALOX5AP;CNR1;CNR2,"CANNABINOID RECEPTOR AGONIST, LIPOXYGENASE INHIBITOR",,BRD:BRD-K88443722-001-01-7,,,,uM,
DPC-000487,AMANTADINE,DRD2;GRIN2A;GRIN2B;GRIN2C;GRIN2D;GRIN3A,GLUTAMATE RECEPTOR ANTAGONIST,,BRD:BRD-K70330367-003-07-9,,,,uM,
DPC-000488,AMBAZONE,,DNA DAMAGE INDUCER,,BRD:BRD-K11244467-001-08-5,,,,uM,
DPC-000489,AMBENONIUM,ACHE,CHOLINESTERASE INHIBITOR,,BRD:BRD-K11292736-300-02-8,,,,uM,
DPC-000490,AMBRISENTAN,EDNRA;EDNRB,ENDOTHELIN RECEPTOR ANTAGONIST,,BRD:BRD-K41185545-001-02-3,,,,uM,
DPC-000491,AMBROXOL,CYP3A4,SODIUM CHANNEL BLOCKER,,BRD:BRD-K56558538-003-11-9,,,,uM,
DPC-000492,AMCASERTIB,,KINASE INHIBITOR,,BRD:BRD-K00003244-001-01-9,,,,uM,
DPC-000493,AMCINONIDE,ANXA1;NR3C1,GLUCOCORTICOID RECEPTOR AGONIST,,BRD:BRD-A36010170-001-04-0,,,,uM,
DPC-000494,AMD-3465,CXCR4,CC CHEMOKINE RECEPTOR ANTAGONIST,,BRD:BRD-K03019184-439-02-9,,,,uM,
DPC-000495,AMD11070,CCR5;CXCR4,CC CHEMOKINE RECEPTOR ANTAGONIST,,BRD:BRD-K42948882-305-01-1,,,,uM,
DPC-000496,AMELTOLIDE,,ANTICONVULSANT,,BRD:BRD-K48173020-001-01-8,,,,uM,
DPC-000497,AMENAMEVIR,,HELICASE PRIMASE INHIBITOR,,BRD:BRD-K00004966-001-01-9,,,,uM,
DPC-000498,AMETANTRONE,,ANTICANCER AGENT,,BRD:BRD-K00004726-001-01-9,,,,uM,
DPC-000499,AMEZINIUM,ADRB2,ADRENERGIC RECEPTOR AGONIST,,BRD:BRD-K51387999-067-01-6,,,,uM,
DPC-000500,AMFENAC,PTGS1;PTGS2,CYCLOOXYGENASE INHIBITOR,,BRD:BRD-K82122102-323-01-1,,,,uM,
DPC-000501,AMFEPRAMONE,SLC6A2;SLC6A3,ADRENERGIC RECEPTOR AGONIST,,BRD:BRD-A37288617-003-02-2,,,,uM,
DPC-000502,AMFLUTIZOLE,XDH,XANTHINE OXIDASE INHIBITOR,,BRD:BRD-K50813454-001-01-9,,,,uM,
DPC-000503,AMG 333,,,,BRD:BRD-K00079528-001-02-9,,,,uM,
DPC-000504,AMG 706,FLT1;FLT4;KDR;KIT,"KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, VEGFR INHIBITOR",AMG-706;AMG706;MOTESANIB,BRD:BRD-K99616396-001-05-1;GDSC1:1029,,,,uM,
DPC-000505,TAPOTOCLAX,MCL1,inhibitor of MCL1,AMG-176,BRD:BRD-K43900408-001-02-9,CHEMBL14253,CC1CC=CC(C2CCC2CN3CC4(CCCC5=C4C=CC(=C5)Cl)COC6=C3C=C(C=C6)C(=O)NS(=O)(=O)C1C)OC,JQNINBDKGLWYMU-GEAQBIRJSA-N,uM,118910268
DPC-000506,AMG-208,MET,TYROSINE KINASE INHIBITOR,,BRD:BRD-K32285926-001-02-1,,,,uM,
DPC-000507,AMG-232,MDM2,MDM INHIBITOR,,BRD:BRD-K64925568-001-01-8,,,,uM,
DPC-000508,AMG-319,PIK3CD,PI3K INHIBITOR,AMG319,BRD:BRD-A58947127-001-01-6;BRD:BRD-K21077415-001-01-5;GDSC2:2045,,,,uM,
DPC-000509,AMG-337,MET,inhibitor of MET,,BRD:BRD-K27061362-001-01-6,CHEMBL14253,CC(C1=NN=C2N1C=C(C=C2F)C3=CN(N=C3)C)N4C=CC5=C(C4=O)C=C(C=N5)OCCOC,DWHXUGDWKAIASB-CQSZACIVSA-N,uM,44181686
DPC-000510,AMG-397,,,,BRD:BRD-K00108790-001-01-9,,,,uM,
DPC-000511,AMG-487,,CC CHEMOKINE RECEPTOR ANTAGONIST,,BRD:BRD-K90239174-001-01-8,,,,uM,
DPC-000512,AMG-487-(+/-),CXCR3,CC CHEMOKINE RECEPTOR ANTAGONIST,,BRD:BRD-A01307728-001-01-4,,,,uM,
DPC-000513,SOTORASIB,KRAS,inhibitor of KRAS-G12C,AMG-510,BRD:BRD-K00010385-001-01-9,CHEMBL14253,CC1CN(CCN1C2=NC(=O)N(C3=NC(=C(C=C32)F)C4=C(C=CC=C4F)O)C5=C(C=CN=C5C(C)C)C)C(=O)C=C,NXQKSXLFSAEQCZ-SFHVURJKSA-N,uM,137278711
DPC-000514,AMG-517,TRPV1,TRPV ANTAGONIST,,BRD:BRD-K34185671-001-02-8,,,,uM,
DPC-000515,AMG-548,MAPK11;MAPK12;MAPK13;MAPK14,MAP KINASE INHIBITOR,,BRD:BRD-K86673452-001-01-7,,,,uM,
DPC-000516,AMG-837,FFAR1,FREE FATTY ACID RECEPTOR AGONIST,,BRD:BRD-K43802723-340-01-9,,,,uM,
DPC-000517,AMG-925,CDK4;CDK6;FLT3,"CDK INHIBITOR, FLT3 INHIBITOR",,BRD:BRD-K97452254-001-01-3,,,,uM,
DPC-000518,AMG-9810,TRPV1,TRPV ANTAGONIST,,BRD:BRD-K01995783-001-01-6,,,,uM,
DPC-000519,AMG-PERK-44,EIF2AK4,PERK INHIBITOR,,BRD:BRD-K04374714-003-01-1,,,,uM,
DPC-000520,AMG458,MET,MET INHIBITOR,,BRD:BRD-K21782625-001-02-4;BRD:BRD-K21782625-001-03-2,,,,uM,
DPC-000521,AMG900,AURKA;AURKB;AURKC,AURORA KINASE INHIBITOR,,BRD:BRD-K21728777-001-02-3,,,,uM,
DPC-000522,AMI-1,PRMT1,PROTEIN ARGININE N-METHYLTRANSFERASE INHIBITOR,,BRD:BRD-K75114721-304-02-6,,,,uM,
DPC-000523,AMIBEGRON,ADRB3,ADRENERGIC RECEPTOR AGONIST,,BRD:BRD-K24610819-003-01-8,,,,uM,
DPC-000524,AMIDOPYRINE,,ANALGESIC AGENT,,BRD:BRD-K12568846-001-14-6,,,,uM,
DPC-000525,AMIFAMPRIDINE,,POTASSIUM CHANNEL BLOCKER,,BRD:BRD-K80262108-001-07-0,,,,uM,
DPC-000526,AMIFOSTINE,ALPPL2;ENPP1,REDUCING AGENT,,BRD:BRD-K73947551-001-04-4,,,,uM,
DPC-000527,AMIKACIN,,BACTERIAL 30S RIBOSOMAL SUBUNIT INHIBITOR,,BRD:BRD-A30051119-002-01-8,,,,uM,
DPC-000528,AMILORIDE,AOC1;ASIC1;ASIC2;ASIC3;PKD2;PKD2L1;PLAU;SCNN1A;SCNN1B;SCNN1D;SCNN1G;SLC9A1;TRPC7;TRPV2,SODIUM CHANNEL BLOCKER,,BRD:BRD-K97181089-003-24-7,,,,uM,
DPC-000529,AMINEPTINE,SLC6A2;SLC6A4,DOPAMINE RECEPTOR AGONIST,,BRD:BRD-K24219278-001-01-6,,,,uM,
DPC-000530,AMINOCAPROIC-ACID,LPA;PLAT;PLG,PLASMINOGEN ACTIVATOR INHIBITOR,,BRD:BRD-K64931368-003-01-4,,,,uM,
DPC-000531,AMINOGLUTETHIMIDE,CYP11A1;CYP19A1,GLUCOCORTICOID RECEPTOR ANTAGONIST,,BRD:BRD-A25234499-001-18-3;BRD:BRD-A25234499-001-19-1,,,,uM,
DPC-000532,AMINOGUANIDINE,AKR1B1;NOS2;TIMP3,NITRIC OXIDE SYNTHASE INHIBITOR,,BRD:BRD-K25114078-003-08-1,,,,uM,
DPC-000533,AMINOHYDROXYBUTYRIC-ACID,,,,BRD:BRD-A40777960-001-04-2,,,,uM,
DPC-000534,AMINOLEVULINIC-ACID-BENZYL-ESTER,,,,BRD:BRD-K59998349-003-01-4,,,,uM,
DPC-000535,AMINOMETHYLTRANSFERASE,NOS2,NITRIC OXIDE SYNTHASE INHIBITOR,,BRD:BRD-A28318179-003-08-5,,,,uM,
DPC-000536,AMINOPENTAMIDE,CHRM1,ACETYLCHOLINE RECEPTOR ANTAGONIST,,BRD:BRD-A69917777-065-02-2,,,,uM,
DPC-000538,AMINOPURVALANOL-A,CDK1;CDK2;CDK5;CDK6,"CDK INHIBITOR, TYROSINE KINASE INHIBITOR",,BRD:BRD-K07762753-001-04-4,,,,uM,
DPC-000539,AMINOSALICYLATE,ALOX5;CHUK;PLA2G2E;PTGS1;PTGS2,CYCLOOXYGENASE INHIBITOR,,BRD:BRD-K80267133-001-17-7;BRD:BRD-K80267133-001-19-3;BRD:BRD-K80267133-325-22-9,,,,uM,
DPC-000540,AMINOTHIAZOLE,NOS2,CYCLIN D INHIBITOR,,BRD:BRD-K13421763-001-06-2,,,,uM,
DPC-000541,AMIODARONE,ADRB1;CACNA1H;CACNA2D2;KCNA7;KCNH2,POTASSIUM CHANNEL BLOCKER,,BRD:BRD-K17561142-003-32-5,,,,uM,
DPC-000542,AMIPRILOSE,,CD ANTAGONIST,,BRD:BRD-K97643133-003-09-3,,,,uM,
DPC-000543,AMISELIMOD,,SPHINGOSINE 1-PHOSPHATE RECEPTOR MODULATOR,,BRD:BRD-K00003223-003-01-9,,,,uM,
DPC-000544,AMISULPRIDE,DRD2;DRD3;HTR2A;HTR7,DOPAMINE RECEPTOR ANTAGONIST,,BRD:BRD-A60197193-001-14-6,,,,uM,
DPC-000545,AMITIFADINE,SLC6A2;SLC6A3;SLC6A4,SEROTONIN TRANSPORTER (SERT) INHIBITOR,,BRD:BRD-A68942014-003-01-7,,,,uM,
DPC-000546,AMITRIPTYLINE,ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRB1;ADRB2;ADRB3;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;HRH1;HRH2;HRH4;HTR1A;HTR1B;HTR1D;HTR2A;HTR2C;HTR6;HTR7;KCNA1;KCND2;KCND3;KCNQ2;KCNQ3;NTRK1;NTRK2;OPRD1;OPRK1;OPRM1;SIGMAR1;SLC6A2;SLC6A4,"NOREPINEPHRINE INHIBITOR, NOREPINEPHRINE REUPTAKE INHIBITOR, SEROTONIN RECEPTOR ANTAGONIST, SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITOR (SNRI), SEROTONINÂNOREPINEPHRINE REUPTAKE INHIBITOR (SNRI)",,BRD:BRD-K53737926-003-27-8,,,,uM,
DPC-000547,AMLEXANOX,FGF1;IL3;PDE4A;PDE4B;PDE4C;PDE4D;S100A12;S100A13,HISTAMINE RECEPTOR MODULATOR,,BRD:BRD-K29530284-001-06-2,,,,uM,
DPC-000548,AMLODIPINE,CA1;CACNA1B;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNA2D1;CACNA2D3;CACNB1;CACNB2;SMPD1,CALCIUM CHANNEL BLOCKER,,BRD:BRD-A22032524-074-06-5,,,,uM,
DPC-000549,AMMONIUM-GLYCYRRHIZINATE,HSD11B1;HSD11B2;SLCO1B1;SLCO1B3,THROMBIN INHIBITOR,,BRD:BRD-K15318383-201-01-5,,,,uM,
DPC-000550,AMMONIUM-LACTATE,HCAR1,,,BRD:BRD-M29182745-001-01-4,,,,uM,
DPC-000551,AMMONIUM-PERFLUOROCAPRYLATE,PIM1,PIM KINASE INHIBITOR,,BRD:BRD-K32531356-001-03-9,,,,uM,
DPC-000552,AMN-082,GRM7,GLUTAMATE RECEPTOR MODULATOR,,BRD:BRD-K23335153-300-02-5,,,,uM,
DPC-000553,AMODIAQUINE,HNMT,HISTAMINE RECEPTOR AGONIST,,BRD:BRD-K91290917-300-01-8,,,,uM,
DPC-000554,AMONAFIDE,TOP2A;TOP2B,TOPOISOMERASE INHIBITOR,,BRD:BRD-K56334280-001-05-1,,,,uM,
DPC-000555,AMOROLFINE,,MEMBRANE INTEGRITY INHIBITOR,,BRD:BRD-A37390343-003-03-5,,,,uM,
DPC-000556,AMOXAPINE,ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;DRD1;DRD2;DRD3;DRD4;DRD5;GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;GABRQ;HRH1;HRH4;HTR1A;HTR1B;HTR2A;HTR2B;HTR2C;HTR3A;HTR6;HTR7;SLC6A2;SLC6A3;SLC6A4,NOREPINEPHRINE REPUTAKE INHIBITOR,,BRD:BRD-K02265150-001-26-5,,,,uM,
DPC-000557,AMOXICILLIN,CYP2C19;SLC15A1;SLC15A2;SLC22A6,PENICILLIN BINDING PROTEIN INHIBITOR,,BRD:BRD-K55044200-001-14-6;BRD:BRD-K55044200-001-15-3,,,,uM,
DPC-000558,AMPA-(RS),GRIN1,GLUTAMATE RECEPTOR AGONIST,,BRD:BRD-A34716233-004-03-5,,,,uM,
DPC-000559,AMPA-(S),GRIA2;GRIN1,GLUTAMATE RECEPTOR AGONIST,,BRD:BRD-K92493880-001-03-0,,,,uM,
DPC-000560,AMPALEX,GRIA1;GRIA2;GRIA3;GRIA4,GLUTAMATE RECEPTOR AGONIST,,BRD:BRD-K24771047-001-01-6,,,,uM,
DPC-000561,AMPEROZIDE,FAAH;HTR2A,DOPAMINE RECEPTOR ANTAGONIST,,BRD:BRD-K52397688-003-06-4,,,,uM,
DPC-000562,AMPHOTERICIN-B,,MEMBRANE PERMEABILITY ENHANCER,,BRD:BRD-K27352494-001-03-6,,,,uM,
DPC-000563,AMPICILLIN,,BACTERIAL CELL WALL SYNTHESIS INHIBITOR,,BRD:BRD-K68432770-236-23-1,,,,uM,
DPC-000564,AMPRENAVIR,,HIV PROTEASE INHIBITOR,,BRD:BRD-K47827687-001-02-2,,,,uM,
DPC-000565,AMPROLIUM,,THIAMINE UPTAKE BLOCKER,,BRD:BRD-K90027121-003-01-7,,,,uM,
DPC-000566,AMPYRONE,,CYCLOOXYGENASE INHIBITOR,,BRD:BRD-K20484910-001-16-9,,,,uM,
DPC-000567,AMRINONE,PDE3A;PDE3B;PDE4B;TNF,PHOSPHODIESTERASE INHIBITOR,,BRD:BRD-K45924332-001-16-8,,,,uM,
DPC-000568,AMRUBICIN,TOP2A;TOP2B,TOPOISOMERASE INHIBITOR,,BRD:BRD-K13843533-001-01-7,,,,uM,
DPC-000569,AMSACRINE,KCNH2;TOP2A,TOPOISOMERASE INHIBITOR,,BRD:BRD-K68346641-001-01-4;BRD:BRD-K68346641-001-02-2,,,,uM,
DPC-000570,AMTHAMINE,HRH2,HISTAMINE RECEPTOR AGONIST,,BRD:BRD-K39670393-303-02-1,,,,uM,
DPC-000571,AMTOLMETIN-GUACIL,PTGS1;PTGS2,CYCLOOXYGENASE INHIBITOR,,BRD:BRD-K70924353-001-01-2,,,,uM,
DPC-000572,AMUVATINIB,KIT;MET,"FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAD51 INHIBITOR, RET TYROSINE KINASE INHIBITOR",MP 470;MP-470;MP470,BRD:BRD-K66538826-001-07-2;GDSC1:293,,,,uM,
DPC-000573,AMXT-1501 TETRAHYDROCHLORIDE,,,,BRD:BRD-K00091067-376-01-9,,,,uM,
DPC-000574,AMYGDALIN,CASP3,CASPASE ACTIVATOR,,BRD:BRD-K03504028-001-07-6,,,,uM,
DPC-000575,AMYLEINE,,LOCAL ANESTHETIC,,BRD:BRD-A09062839-003-10-0,,,,uM,
DPC-000576,AMYLENE-HYDRATE,,LOCAL ANESTHETIC,,BRD:BRD-K93502141-001-01-6,,,,uM,
DPC-000577,AMYLOID P-IN-1,,,,BRD:BRD-K00090622-001-01-9,,,,uM,
DPC-000578,AMZ30,,PROTEIN PHOSPHATASE INHIBITOR,,BRD:BRD-K00256256-001-06-1,,,,uM,
DPC-000579,AN2718,,LEUCYL-TRNA SYNTHETASE INHIBITOR,,BRD:BRD-K21920947-001-02-1,,,,uM,
DPC-000580,ANA-12,NTRK2,TROPOMYOSIN RECEPTOR KINASE INHIBITOR,,BRD:BRD-A19609491-001-01-8,,,,uM,
DPC-000581,ANABASINE,,ACETYLCHOLINE RECEPTOR AGONIST,,BRD:BRD-A24284985-001-09-9,,,,uM,
DPC-000582,ANACETRAPIB,CETP,CHOLESTERYL ESTER TRANSFER PROTEIN INHIBITOR,,BRD:BRD-K44366189-001-01-9,,,,uM,
DPC-000583,ANAGLIPTIN,DPP4,DIPEPTIDYL PEPTIDASE INHIBITOR,,BRD:BRD-K05355328-001-02-9,,,,uM,
DPC-000584,ANAGRELIDE,PDE3A,PHOSPHODIESTERASE INHIBITOR,,BRD:BRD-K62200014-003-10-5,,,,uM,
DPC-000585,ANAMORELIN,GHSR,GROWTH HORMONE SECRETAGOGUE RECEPTOR AGONIST,,BRD:BRD-K01174345-001-01-9,,,,uM,
DPC-000586,ANANDAMIDE,CACNA1G;CACNA1H;CACNA1I;CNR1;CNR2;GLRA1;GPR18;GPR55;KCNA2;KCNK3;KCNK9;TRPM8;TRPV1,CANNABINOID RECEPTOR AGONIST,,BRD:BRD-K42352790-001-05-3,,,,uM,
DPC-000587,ANASTROZOLE,CYP19A1,AROMATASE INHIBITOR,,BRD:BRD-K52172416-001-11-4,,,,uM,
DPC-000588,ANCHUSIN,,,SHIKONIN,GDSC1:170,,,,uM,
DPC-000589,ANDARINE,AR,ANDROGEN RECEPTOR MODULATOR,,BRD:BRD-K82164249-001-03-5,,,,uM,
DPC-000590,ANDROGRAPHOLIDE,NFKB1,TUMOR NECROSIS FACTOR PRODUCTION INHIBITOR,,BRD:BRD-A86619021-001-04-8,,,,uM,
DPC-000591,ANDROSTENONE,,STEROID,,BRD:BRD-A64011898-001-01-0,,,,uM,
DPC-000592,ANDROSTERONE,,ANDROGEN RECEPTOR AGONIST,,BRD:BRD-K12329651-001-18-8,,,,uM,
DPC-000593,ANECORTAVE-ACETATE,,ANGIOGENESIS INHIBITOR,,BRD:BRD-A53566267-001-01-9,,,,uM,
DPC-000594,ANETHOLE-TRITHIONE,,GLUTATHIONE TRANSFERASE STIMULANT,,BRD:BRD-K92490248-001-06-6,,,,uM,
DPC-000595,ANGUIDINE,SLC5A1,PROTEIN SYNTHESIS INHIBITOR,,BRD:BRD-K45724504-001-01-6,,,,uM,
DPC-000596,ANIDULAFUNGIN,,"FUNGAL 1,3-BETA-D-GLUCAN SYNTHASE INHIBITOR",,BRD:BRD-A75305484-001-01-3,,,,uM,
DPC-000597,ANIRACETAM,DRD2;GRIA1;GRIA2;GRIA3;GRIA4;HTR2A,GLUTAMATE RECEPTOR AGONIST,,BRD:BRD-K88611939-001-22-4,,,,uM,
DPC-000598,ANISINDIONE,GGCX,VITAMIN K ANTAGONIST,,BRD:BRD-K47458712-001-20-7,,,,uM,
DPC-000599,ANISODAMINE,ADRA1A,LIPID PEROXIDASE INHIBITOR,,BRD:BRD-A29623586-001-01-3,,,,uM,
DPC-000600,ANISOMYCIN,NHP2L1;RPL10L;RPL11;RPL13A;RPL15;RPL19;RPL23;RPL23A;RPL26L1;RPL3;RPL37;RPL8;RSL24D1,DNA SYNTHESIS INHIBITOR,,BRD:BRD-K91370081-001-25-1,,,,uM,
DPC-000601,ANISOTROPINE,CHRM1;CHRM2;CHRM3,ACETYLCHOLINE RECEPTOR ANTAGONIST,,BRD:BRD-A06771424-004-01-7,,,,uM,
DPC-000602,ANLOTINIB,KDR;PDGFRB,"VEGFR INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR",,BRD:BRD-K36949735-001-01-1,,,,uM,
DPC-000603,ANPIRTOLINE,HTR1B,SEROTONIN RECEPTOR AGONIST,,BRD:BRD-K55424922-003-02-8,,,,uM,
DPC-000604,ANR-94,ADORA2A,"A1 ADENOSINE RECEPTOR ANTAGONIST, ADENOSINE RECEPTOR ANTAGONIST",,BRD:BRD-K31170746-001-01-6,,,,uM,
DPC-000605,ANSOFAXINE HYDROCHLORIDE,,,,BRD:BRD-K00075778-003-02-9,,,,uM,
DPC-000606,ANTAGONIST-G,MAPK8,NEUROPEPTIDE RECEPTOR ANTAGONIST,,BRD:BRD-K25863791-001-01-8,,,,uM,
DPC-000607,ANTALARMIN,CRHR1,"CORTICOSTEROID RELEASING FACTOR RECEPTOR ANTAGONIST, CORTICOTROPIN RELEASING FACTOR RECEPTOR ANTAGONIST",,BRD:BRD-K01363385-003-01-5,,,,uM,
DPC-000608,ANTAZOLINE,HRH1,ANTIHISTAMINE,,BRD:BRD-K99300445-003-21-6,,,,uM,
DPC-000610,ANTHRAQUINONE,CDC25B,CDC INHIBITOR,,BRD:BRD-K15957397-001-05-9,,,,uM,
DPC-000611,ANTIMONYL,,,,BRD:BRD-A74328360-409-02-8,,,,uM,
DPC-000612,ANTINEOPLASTON A10,,,,BRD:BRD-K00091100-001-01-9,,,,uM,
DPC-000613,AOB2221,PBRM1;SMARCA4,BROMODOMAIN INHIBITOR,BDF00016096;PFI 3;PFI-3;PFI3,BRD:BRD-K61524559-001-04-7;GDSC1:1530;GDSC2:1620,,,,uM,
DPC-000614,AOB2313,USP1,UBIQUITIN SPECIFIC PROTEASE INHIBITOR,GTPL7898;ML-323;ML323,BRD:BRD-K93942811-001-01-3;GDSC2:1629,,,,uM,
DPC-000615,AOB5560,BIRC2;BIRC3;XIAP,XIAP INHIBITOR,AZD5582;GTPL7710,BRD:BRD-K88767641-001-01-7;GDSC2:1617,,,,uM,
DPC-000616,AP-18,TRPA1,TRANSIENT RECEPTOR POTENTIAL CHANNEL ANTAGONIST,,BRD:BRD-K32143970-001-02-9,,,,uM,
DPC-000617,PONATINIB,ABL1;PDGFRA;KDR;FGFR1;SRC,"inhibitor of ABL1, PDGFRA, KDR, FGFR1, and SRC",AP-24534;AP24534;ICLUSIG;KIN001-192,BRD:BRD-K44227013-001-06-4;GDSC1:155,CHEMBL14253,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,PHXJVRSECIGDHY-UHFFFAOYSA-N,uM,24826799
DPC-000618,AP1903,MTOR,,,BRD:BRD-K28383148-001-01-4,,,,uM,
DPC-000619,BRIGATINIB,ALK,inhibitor of ALK,AP26113,BRD:BRD-K56032964-001-02-1;BRD:BRD-K56981171-001-01-0;BRD:BRD-K56981171-001-02-8,CHEMBL14253,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC,AILRADAXUVEEIR-UHFFFAOYSA-N,uM,68165256
DPC-000620,APAFANT,PTAFR,PLATELET ACTIVATING FACTOR RECEPTOR ANTAGONIST,,BRD:BRD-K28115081-001-02-7,,,,uM,
DPC-000621,APALUTAMIDE,,ANDROGEN RECEPTOR ANTAGONIST,,BRD:BRD-K91308639-001-02-7,,,,uM,
DPC-000622,APARARENONE,,MINERALOCORTICOID RECEPTOR ANTAGONIST,,BRD:BRD-K00003492-001-01-9,,,,uM,
DPC-000623,APATINIB,CSK;KDR;KIT;RET,RET TYROSINE KINASE INHIBITOR,,BRD:BRD-K25244359-066-03-4,,,,uM,
